,solar_generation_mw,effective_irradiance,ghi_w_m2,cloud_factor,cell_temperature_c,temperature_factor,performance_ratio,capacity_factor
solar_generation_mw,1.0,0.9653249882037349,0.5121961365344655,0.936973618010141,0.21390942709069238,-0.2139094270906948,,0.9528379175755642
effective_irradiance,0.9653249882037349,1.0,0.6855277073915957,0.9140187477021402,0.3882450468500348,-0.3882450468500361,,0.9291478878643621
ghi_w_m2,0.5121961365344655,0.6855277073915957,1.0,0.398847265457342,0.8598389925044785,-0.8598389925044765,,0.5219283377874717
cloud_factor,0.936973618010141,0.9140187477021402,0.398847265457342,1.0,0.0365762219522541,-0.036576221952255177,,0.8675954936113114
cell_temperature_c,0.21390942709069238,0.3882450468500348,0.8598389925044785,0.0365762219522541,1.0,-0.9999999999999986,,0.2791360924463531
temperature_factor,-0.2139094270906948,-0.3882450468500361,-0.8598389925044765,-0.036576221952255177,-0.9999999999999986,1.0,,-0.27913609244635545
performance_ratio,,,,,,,,
capacity_factor,0.9528379175755642,0.9291478878643621,0.5219283377874717,0.8675954936113114,0.2791360924463531,-0.27913609244635545,,1.0
